,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,actual_c.4,pred_c.1,pred_c.2,pred_c.3,pred_c.4
0,SVC,50,1.268,SCH_AC,wine,0.0,0.1347140113938475,0.634220006632656,0.23106598197349648,0.0,0.697,0.0,0.303
0,SVC,50,0.246,SCH_GPAC,wine,0.0,0.1347140113938475,0.634220006632656,0.23106598197349648,0.001,0.03,0.756,0.213
0,SVC,50,1.52,SCH_DyS,wine,0.0,0.1347140113938475,0.634220006632656,0.23106598197349648,0.001,0.001,0.008,0.99
0,SVC,50,0.572,SCH_CC,wine,0.0,0.1347140113938475,0.634220006632656,0.23106598197349648,0.0,0.08,0.92,0.0
0,SVC,50,1.538,SCH_MS,wine,0.0,0.1347140113938475,0.634220006632656,0.23106598197349648,0.0,0.0,0.0,1.0
0,SVC,50,0.248,SCH_EM,wine,0.0,0.1347140113938475,0.634220006632656,0.23106598197349648,0.0,0.034,0.758,0.208
0,SVC,50,0.826,DySyn,wine,0.0,0.07179419444061781,0.25489700973444873,0.6733087958249334,0.25,0.235,0.25,0.265
0,SVC,50,0.856,DyS,wine,0.0,0.07179419444061781,0.25489700973444873,0.6733087958249334,0.25,0.25,0.25,0.25
0,SVC,50,0.856,DySyn+aMoSS,wine,0.0,0.07179419444061781,0.25489700973444873,0.6733087958249334,0.25,0.25,0.25,0.25
0,SVC,50,0.51,SCH_AC,wine,0.0,0.07179419444061781,0.25489700973444873,0.6733087958249334,0.0,0.099,0.0,0.901
0,SVC,50,0.07,SCH_GPAC,wine,0.0,0.07179419444061781,0.25489700973444873,0.6733087958249334,0.001,0.055,0.236,0.707
0,SVC,50,0.64,SCH_DyS,wine,0.0,0.07179419444061781,0.25489700973444873,0.6733087958249334,0.0,0.0,0.575,0.425
0,SVC,50,1.41,SCH_CC,wine,0.0,0.07179419444061781,0.25489700973444873,0.6733087958249334,0.0,0.04,0.96,0.0
0,SVC,50,0.653,SCH_MS,wine,0.0,0.07179419444061781,0.25489700973444873,0.6733087958249334,0.0,0.0,0.0,1.0
0,SVC,50,0.128,SCH_EM,wine,0.0,0.07179419444061781,0.25489700973444873,0.6733087958249334,0.0,0.056,0.207,0.738
0,SVC,50,0.876,DySyn,wine,0.0,0.06962994559068138,0.49604675021463374,0.43432330419468496,0.246,0.262,0.236,0.257
0,SVC,50,0.861,DyS,wine,0.0,0.06962994559068138,0.49604675021463374,0.43432330419468496,0.25,0.25,0.25,0.25
0,SVC,50,0.858,DySyn+aMoSS,wine,0.0,0.06962994559068138,0.49604675021463374,0.43432330419468496,0.249,0.249,0.252,0.249
0,SVC,50,1.045,SCH_AC,wine,0.0,0.06962994559068138,0.49604675021463374,0.43432330419468496,0.0,0.592,0.0,0.408
0,SVC,50,0.269,SCH_GPAC,wine,0.0,0.06962994559068138,0.49604675021463374,0.43432330419468496,0.001,0.114,0.585,0.3
0,SVC,50,0.302,SCH_DyS,wine,0.0,0.06962994559068138,0.49604675021463374,0.43432330419468496,0.002,0.045,0.645,0.308
