,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,pred_c.0,pred_c.1,pred_c.2
0,RandomForestClassifier,50,0.807,SCH_MS,nursery,0.0,0.5493333986928766,0.4506666013071235,0.404,0.282,0.315
0,RandomForestClassifier,50,0.401,SCH_EM,nursery,0.0,0.5493333986928766,0.4506666013071235,0.0,0.349,0.651
0,RandomForestClassifier,50,0.132,DySyn,nursery,0.0,0.4971599902722232,0.5028400097277768,0.01,0.431,0.559
0,RandomForestClassifier,50,0.042,DyS,nursery,0.0,0.4971599902722232,0.5028400097277768,0.0,0.476,0.524
0,RandomForestClassifier,50,0.588,DySyn+aMoSS,nursery,0.0,0.4971599902722232,0.5028400097277768,0.014,0.203,0.783
0,RandomForestClassifier,50,0.094,SCH_AC,nursery,0.0,0.4971599902722232,0.5028400097277768,0.0,0.45,0.55
0,RandomForestClassifier,50,0.046,SCH_GPAC,nursery,0.0,0.4971599902722232,0.5028400097277768,-0.0,0.474,0.526
0,RandomForestClassifier,50,0.052,SCH_DyS,nursery,0.0,0.4971599902722232,0.5028400097277768,0.0,0.523,0.477
0,RandomForestClassifier,50,0.034,SCH_CC,nursery,0.0,0.4971599902722232,0.5028400097277768,0.0,0.48,0.52
0,RandomForestClassifier,50,0.858,SCH_MS,nursery,0.0,0.4971599902722232,0.5028400097277768,0.429,0.27,0.301
0,RandomForestClassifier,50,0.042,SCH_EM,nursery,0.0,0.4971599902722232,0.5028400097277768,0.0,0.476,0.524
0,RandomForestClassifier,50,0.198,DySyn,nursery,0.0,0.6607812838716023,0.3392187161283976,0.01,0.75,0.24
0,RandomForestClassifier,50,0.238,DyS,nursery,0.0,0.6607812838716023,0.3392187161283976,0.0,0.78,0.22
0,RandomForestClassifier,50,0.577,DySyn+aMoSS,nursery,0.0,0.6607812838716023,0.3392187161283976,0.013,0.937,0.051
0,RandomForestClassifier,50,0.246,SCH_AC,nursery,0.0,0.6607812838716023,0.3392187161283976,0.0,0.784,0.216
0,RandomForestClassifier,50,0.314,SCH_GPAC,nursery,0.0,0.6607812838716023,0.3392187161283976,-0.0,0.818,0.182
0,RandomForestClassifier,50,0.536,SCH_DyS,nursery,0.0,0.6607812838716023,0.3392187161283976,0.0,0.929,0.071
0,RandomForestClassifier,50,0.238,SCH_CC,nursery,0.0,0.6607812838716023,0.3392187161283976,0.0,0.78,0.22
0,RandomForestClassifier,50,0.865,SCH_MS,nursery,0.0,0.6607812838716023,0.3392187161283976,0.432,0.397,0.17
0,RandomForestClassifier,50,0.234,SCH_EM,nursery,0.0,0.6607812838716023,0.3392187161283976,0.0,0.778,0.222
0,RandomForestClassifier,50,0.094,DySyn,nursery,0.0,0.32695703796926706,0.673042962030733,0.01,0.28,0.71
0,RandomForestClassifier,50,0.02,DyS,nursery,0.0,0.32695703796926706,0.673042962030733,0.0,0.317,0.683
0,RandomForestClassifier,50,0.254,DySyn+aMoSS,nursery,0.0,0.32695703796926706,0.673042962030733,0.012,0.2,0.788
0,RandomForestClassifier,50,0.07,SCH_AC,nursery,0.0,0.32695703796926706,0.673042962030733,0.0,0.362,0.638
0,RandomForestClassifier,50,0.056,SCH_GPAC,nursery,0.0,0.32695703796926706,0.673042962030733,0.0,0.299,0.701
0,RandomForestClassifier,50,0.086,SCH_DyS,nursery,0.0,0.32695703796926706,0.673042962030733,0.0,0.284,0.716
0,RandomForestClassifier,50,0.014,SCH_CC,nursery,0.0,0.32695703796926706,0.673042962030733,0.0,0.32,0.68
0,RandomForestClassifier,50,0.816,SCH_MS,nursery,0.0,0.32695703796926706,0.673042962030733,0.408,0.242,0.35
0,RandomForestClassifier,50,0.064,SCH_EM,nursery,0.0,0.32695703796926706,0.673042962030733,0.0,0.295,0.705
0,RandomForestClassifier,50,0.035,DySyn,nursery,0.0,0.997453927667433,0.0025460723325669366,0.01,0.98,0.01
0,RandomForestClassifier,50,0.015,DyS,nursery,0.0,0.997453927667433,0.0025460723325669366,0.0,0.99,0.01
0,RandomForestClassifier,50,0.075,DySyn+aMoSS,nursery,0.0,0.997453927667433,0.0025460723325669366,0.01,0.96,0.03
0,RandomForestClassifier,50,0.159,SCH_AC,nursery,0.0,0.997453927667433,0.0025460723325669366,0.0,0.918,0.082
0,RandomForestClassifier,50,0.047,SCH_GPAC,nursery,0.0,0.997453927667433,0.0025460723325669366,0.0,0.974,0.026
0,RandomForestClassifier,50,0.005,SCH_DyS,nursery,0.0,0.997453927667433,0.0025460723325669366,0.0,1.0,0.0
0,RandomForestClassifier,50,0.005,SCH_CC,nursery,0.0,0.997453927667433,0.0025460723325669366,0.0,1.0,0.0
0,RandomForestClassifier,50,1.174,SCH_MS,nursery,0.0,0.997453927667433,0.0025460723325669366,0.411,0.411,0.179
0,RandomForestClassifier,50,0.005,SCH_EM,nursery,0.0,0.997453927667433,0.0025460723325669366,0.0,1.0,0.0
0,RandomForestClassifier,50,0.02,DySyn,nursery,0.0,0.5044970167739359,0.49550298322606406,0.01,0.5,0.49
0,RandomForestClassifier,50,0.019,DyS,nursery,0.0,0.5044970167739359,0.49550298322606406,0.0,0.514,0.486
0,RandomForestClassifier,50,0.361,DySyn+aMoSS,nursery,0.0,0.5044970167739359,0.49550298322606406,0.014,0.324,0.662
0,RandomForestClassifier,50,0.069,SCH_AC,nursery,0.0,0.5044970167739359,0.49550298322606406,0.0,0.539,0.461
0,RandomForestClassifier,50,0.069,SCH_GPAC,nursery,0.0,0.5044970167739359,0.49550298322606406,0.0,0.539,0.461
0,RandomForestClassifier,50,0.093,SCH_DyS,nursery,0.0,0.5044970167739359,0.49550298322606406,0.0,0.458,0.542
0,RandomForestClassifier,50,0.049,SCH_CC,nursery,0.0,0.5044970167739359,0.49550298322606406,0.0,0.48,0.52
0,RandomForestClassifier,50,0.824,SCH_MS,nursery,0.0,0.5044970167739359,0.49550298322606406,0.412,0.292,0.296
0,RandomForestClassifier,50,0.071,SCH_EM,nursery,0.0,0.5044970167739359,0.49550298322606406,0.0,0.54,0.46
0,RandomForestClassifier,50,0.249,DySyn,nursery,0.1,0.36270324013792477,0.5372967598620754,0.125,0.462,0.413
0,RandomForestClassifier,50,0.215,DyS,nursery,0.1,0.36270324013792477,0.5372967598620754,0.1,0.47,0.43
0,RandomForestClassifier,50,0.064,DySyn+aMoSS,nursery,0.1,0.36270324013792477,0.5372967598620754,0.124,0.371,0.506
0,RandomForestClassifier,50,0.327,SCH_AC,nursery,0.1,0.36270324013792477,0.5372967598620754,0.096,0.526,0.378
0,RandomForestClassifier,50,0.261,SCH_GPAC,nursery,0.1,0.36270324013792477,0.5372967598620754,0.1,0.493,0.407
0,RandomForestClassifier,50,0.292,SCH_DyS,nursery,0.1,0.36270324013792477,0.5372967598620754,0.084,0.509,0.408
0,RandomForestClassifier,50,0.155,SCH_CC,nursery,0.1,0.36270324013792477,0.5372967598620754,0.1,0.44,0.46
0,RandomForestClassifier,50,0.738,SCH_MS,nursery,0.1,0.36270324013792477,0.5372967598620754,0.469,0.274,0.257
0,RandomForestClassifier,50,0.26,SCH_EM,nursery,0.1,0.36270324013792477,0.5372967598620754,0.1,0.493,0.408
0,RandomForestClassifier,50,0.071,DySyn,nursery,0.1,0.6891722488238173,0.2108277511761827,0.135,0.654,0.212
0,RandomForestClassifier,50,0.034,DyS,nursery,0.1,0.6891722488238173,0.2108277511761827,0.099,0.673,0.228
0,RandomForestClassifier,50,0.077,DySyn+aMoSS,nursery,0.1,0.6891722488238173,0.2108277511761827,0.126,0.701,0.172
0,RandomForestClassifier,50,0.062,SCH_AC,nursery,0.1,0.6891722488238173,0.2108277511761827,0.097,0.661,0.242
0,RandomForestClassifier,50,0.07,SCH_GPAC,nursery,0.1,0.6891722488238173,0.2108277511761827,0.1,0.654,0.246
0,RandomForestClassifier,50,0.114,SCH_DyS,nursery,0.1,0.6891722488238173,0.2108277511761827,0.1,0.632,0.268
0,RandomForestClassifier,50,0.058,SCH_CC,nursery,0.1,0.6891722488238173,0.2108277511761827,0.1,0.66,0.24
0,RandomForestClassifier,50,0.738,SCH_MS,nursery,0.1,0.6891722488238173,0.2108277511761827,0.469,0.328,0.203
0,RandomForestClassifier,50,0.08,SCH_EM,nursery,0.1,0.6891722488238173,0.2108277511761827,0.1,0.649,0.251
0,RandomForestClassifier,50,0.231,DySyn,nursery,0.1,0.5031835091631032,0.3968164908368968,0.133,0.388,0.48
