,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,actual_c.3,pred_c.0,pred_c.1,pred_c.2,pred_c.3
0,XGBClassifier,50,0.101,SCH_EM,video_game_sales,0.0,0.22115207780542517,0.3081030719057337,0.4707448502888411,0.0,0.201,0.278,0.521
0,XGBClassifier,50,0.197,DySyn,video_game_sales,0.0,0.5457584064702956,0.39534706290242977,0.058894530627274524,0.01,0.448,0.457,0.086
0,XGBClassifier,50,0.212,DyS,video_game_sales,0.0,0.5457584064702956,0.39534706290242977,0.058894530627274524,0.0,0.44,0.48,0.08
0,XGBClassifier,50,0.23,DySyn+aMoSS,video_game_sales,0.0,0.5457584064702956,0.39534706290242977,0.058894530627274524,0.01,0.431,0.471,0.088
0,XGBClassifier,50,0.908,SCH_AC,video_game_sales,0.0,0.5457584064702956,0.39534706290242977,0.058894530627274524,0.0,1.0,0.0,0.0
0,XGBClassifier,50,0.224,SCH_GPAC,video_game_sales,0.0,0.5457584064702956,0.39534706290242977,0.058894530627274524,0.003,0.434,0.481,0.082
0,XGBClassifier,50,0.351,SCH_DyS,video_game_sales,0.0,0.5457584064702956,0.39534706290242977,0.058894530627274524,0.0,0.429,0.571,0.0
0,XGBClassifier,50,0.751,SCH_CC,video_game_sales,0.0,0.5457584064702956,0.39534706290242977,0.058894530627274524,0.0,0.92,0.02,0.06
0,XGBClassifier,50,0.342,SCH_MS,video_game_sales,0.0,0.5457584064702956,0.39534706290242977,0.058894530627274524,0.0,0.375,0.451,0.174
0,XGBClassifier,50,0.217,SCH_EM,video_game_sales,0.0,0.5457584064702956,0.39534706290242977,0.058894530627274524,0.0,0.438,0.481,0.082
0,XGBClassifier,50,0.069,DySyn,video_game_sales,0.0,0.38807663342495724,0.2542803681657391,0.3576429984093037,0.01,0.41,0.22,0.36
0,XGBClassifier,50,0.069,DyS,video_game_sales,0.0,0.38807663342495724,0.2542803681657391,0.3576429984093037,0.0,0.4,0.22,0.38
0,XGBClassifier,50,0.059,DySyn+aMoSS,video_game_sales,0.0,0.38807663342495724,0.2542803681657391,0.3576429984093037,0.01,0.392,0.225,0.373
0,XGBClassifier,50,0.678,SCH_AC,video_game_sales,0.0,0.38807663342495724,0.2542803681657391,0.3576429984093037,0.0,0.727,0.0,0.273
0,XGBClassifier,50,0.086,SCH_GPAC,video_game_sales,0.0,0.38807663342495724,0.2542803681657391,0.3576429984093037,0.0,0.407,0.212,0.382
0,XGBClassifier,50,0.715,SCH_DyS,video_game_sales,0.0,0.38807663342495724,0.2542803681657391,0.3576429984093037,0.0,0.447,0.553,0.0
0,XGBClassifier,50,0.944,SCH_CC,video_game_sales,0.0,0.38807663342495724,0.2542803681657391,0.3576429984093037,0.0,0.86,0.02,0.12
0,XGBClassifier,50,0.299,SCH_MS,video_game_sales,0.0,0.38807663342495724,0.2542803681657391,0.3576429984093037,0.0,0.426,0.366,0.208
0,XGBClassifier,50,0.081,SCH_EM,video_game_sales,0.0,0.38807663342495724,0.2542803681657391,0.3576429984093037,0.0,0.406,0.214,0.38
0,XGBClassifier,50,0.082,DySyn,video_game_sales,0.0,0.055576944870931656,0.3478296650530027,0.5965933900760656,0.01,0.059,0.307,0.624
0,XGBClassifier,50,0.087,DyS,video_game_sales,0.0,0.055576944870931656,0.3478296650530027,0.5965933900760656,0.0,0.04,0.32,0.64
0,XGBClassifier,50,0.074,DySyn+aMoSS,video_game_sales,0.0,0.055576944870931656,0.3478296650530027,0.5965933900760656,0.01,0.05,0.317,0.624
0,XGBClassifier,50,1.095,SCH_AC,video_game_sales,0.0,0.055576944870931656,0.3478296650530027,0.5965933900760656,0.0,0.603,0.0,0.397
0,XGBClassifier,50,0.11,SCH_GPAC,video_game_sales,0.0,0.055576944870931656,0.3478296650530027,0.5965933900760656,0.002,0.038,0.311,0.65
0,XGBClassifier,50,0.64,SCH_DyS,video_game_sales,0.0,0.055576944870931656,0.3478296650530027,0.5965933900760656,0.0,0.0,0.668,0.332
0,XGBClassifier,50,1.329,SCH_CC,video_game_sales,0.0,0.055576944870931656,0.3478296650530027,0.5965933900760656,0.0,0.72,0.04,0.24
0,XGBClassifier,50,0.17,SCH_MS,video_game_sales,0.0,0.055576944870931656,0.3478296650530027,0.5965933900760656,0.0,0.0,0.433,0.567
0,XGBClassifier,50,0.109,SCH_EM,video_game_sales,0.0,0.055576944870931656,0.3478296650530027,0.5965933900760656,0.0,0.04,0.309,0.651
0,XGBClassifier,50,0.106,DySyn,video_game_sales,0.0,0.2732510378071132,0.6656813294304773,0.061067632762409535,0.01,0.243,0.709,0.039
0,XGBClassifier,50,0.189,DyS,video_game_sales,0.0,0.2732510378071132,0.6656813294304773,0.061067632762409535,0.0,0.22,0.76,0.02
0,XGBClassifier,50,0.16,DySyn+aMoSS,video_game_sales,0.0,0.2732510378071132,0.6656813294304773,0.061067632762409535,0.01,0.225,0.735,0.029
0,XGBClassifier,50,1.453,SCH_AC,video_game_sales,0.0,0.2732510378071132,0.6656813294304773,0.061067632762409535,0.0,1.0,0.0,0.0
0,XGBClassifier,50,0.181,SCH_GPAC,video_game_sales,0.0,0.2732510378071132,0.6656813294304773,0.061067632762409535,0.003,0.224,0.753,0.02
0,XGBClassifier,50,0.175,SCH_DyS,video_game_sales,0.0,0.2732510378071132,0.6656813294304773,0.061067632762409535,0.0,0.361,0.639,0.0
0,XGBClassifier,50,1.373,SCH_CC,video_game_sales,0.0,0.2732510378071132,0.6656813294304773,0.061067632762409535,0.0,0.96,0.04,0.0
0,XGBClassifier,50,0.49,SCH_MS,video_game_sales,0.0,0.2732510378071132,0.6656813294304773,0.061067632762409535,0.0,0.154,0.54,0.306
0,XGBClassifier,50,0.18,SCH_EM,video_game_sales,0.0,0.2732510378071132,0.6656813294304773,0.061067632762409535,0.0,0.224,0.755,0.02
0,XGBClassifier,50,0.071,DySyn,video_game_sales,0.0,0.2790007048733711,0.3680351935349192,0.3529641015917096,0.01,0.305,0.362,0.324
0,XGBClassifier,50,0.066,DyS,video_game_sales,0.0,0.2790007048733711,0.3680351935349192,0.3529641015917096,0.0,0.3,0.38,0.32
0,XGBClassifier,50,0.072,DySyn+aMoSS,video_game_sales,0.0,0.2790007048733711,0.3680351935349192,0.3529641015917096,0.01,0.297,0.376,0.317
0,XGBClassifier,50,1.004,SCH_AC,video_game_sales,0.0,0.2790007048733711,0.3680351935349192,0.3529641015917096,0.0,0.781,0.0,0.219
0,XGBClassifier,50,0.06,SCH_GPAC,video_game_sales,0.0,0.2790007048733711,0.3680351935349192,0.3529641015917096,0.0,0.301,0.376,0.323
0,XGBClassifier,50,0.706,SCH_DyS,video_game_sales,0.0,0.2790007048733711,0.3680351935349192,0.3529641015917096,0.0,0.449,0.551,0.0
0,XGBClassifier,50,1.162,SCH_CC,video_game_sales,0.0,0.2790007048733711,0.3680351935349192,0.3529641015917096,0.0,0.86,0.02,0.12
0,XGBClassifier,50,0.268,SCH_MS,video_game_sales,0.0,0.2790007048733711,0.3680351935349192,0.3529641015917096,0.0,0.216,0.502,0.282
0,XGBClassifier,50,0.059,SCH_EM,video_game_sales,0.0,0.2790007048733711,0.3680351935349192,0.3529641015917096,0.0,0.301,0.376,0.324
0,XGBClassifier,50,0.092,DySyn,video_game_sales,0.0,0.48313756296903054,0.07232993683892243,0.44453250019204715,0.009,0.443,0.066,0.481
0,XGBClassifier,50,0.071,DyS,video_game_sales,0.0,0.48313756296903054,0.07232993683892243,0.44453250019204715,0.0,0.48,0.04,0.48
0,XGBClassifier,50,0.072,DySyn+aMoSS,video_game_sales,0.0,0.48313756296903054,0.07232993683892243,0.44453250019204715,0.01,0.471,0.049,0.471
0,XGBClassifier,50,0.418,SCH_AC,video_game_sales,0.0,0.48313756296903054,0.07232993683892243,0.44453250019204715,0.0,0.692,0.0,0.308
0,XGBClassifier,50,0.075,SCH_GPAC,video_game_sales,0.0,0.48313756296903054,0.07232993683892243,0.44453250019204715,0.0,0.484,0.035,0.481
0,XGBClassifier,50,0.951,SCH_DyS,video_game_sales,0.0,0.48313756296903054,0.07232993683892243,0.44453250019204715,0.0,0.452,0.548,0.0
0,XGBClassifier,50,0.674,SCH_CC,video_game_sales,0.0,0.48313756296903054,0.07232993683892243,0.44453250019204715,0.0,0.82,0.06,0.12
0,XGBClassifier,50,0.655,SCH_MS,video_game_sales,0.0,0.48313756296903054,0.07232993683892243,0.44453250019204715,0.0,0.409,0.4,0.191
0,XGBClassifier,50,0.071,SCH_EM,video_game_sales,0.0,0.48313756296903054,0.07232993683892243,0.44453250019204715,0.0,0.48,0.04,0.48
0,XGBClassifier,50,0.092,DySyn,video_game_sales,0.1,0.09272852597177289,0.6859066140671617,0.12136485996106555,0.113,0.094,0.717,0.075
