,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,actual_c.3,actual_c.4,pred_c.0,pred_c.1,pred_c.2,pred_c.3,pred_c.4
0,XGBClassifier,50,0.249,DySyn,yeast,0.0,0.11721089264269331,0.14399181093000132,0.3735779799512879,0.3652193164760175,0.025,0.127,0.19,0.418,0.241
0,XGBClassifier,50,0.365,DyS,yeast,0.0,0.11721089264269331,0.14399181093000132,0.3735779799512879,0.3652193164760175,0.0,0.0,0.212,0.488,0.3
0,XGBClassifier,50,1.546,DySyn+aMoSS,yeast,0.0,0.11721089264269331,0.14399181093000132,0.3735779799512879,0.3652193164760175,0.465,0.425,0.005,0.065,0.04
0,XGBClassifier,50,0.234,SCH_AC,yeast,0.0,0.11721089264269331,0.14399181093000132,0.3735779799512879,0.3652193164760175,0.0,0.0,0.171,0.454,0.375
0,XGBClassifier,50,0.3,SCH_GPAC,yeast,0.0,0.11721089264269331,0.14399181093000132,0.3735779799512879,0.3652193164760175,0.109,0.068,0.157,0.402,0.265
0,XGBClassifier,50,0.924,SCH_DyS,yeast,0.0,0.11721089264269331,0.14399181093000132,0.3735779799512879,0.3652193164760175,0.053,0.0,0.041,0.782,0.123
0,XGBClassifier,50,0.56,SCH_CC,yeast,0.0,0.11721089264269331,0.14399181093000132,0.3735779799512879,0.3652193164760175,0.28,0.1,0.1,0.28,0.24
0,XGBClassifier,50,0.233,SCH_MS,yeast,0.0,0.11721089264269331,0.14399181093000132,0.3735779799512879,0.3652193164760175,0.0,0.0,0.181,0.448,0.37
0,XGBClassifier,50,0.485,SCH_EM,yeast,0.0,0.11721089264269331,0.14399181093000132,0.3735779799512879,0.3652193164760175,0.0,0.002,0.073,0.616,0.309
0,XGBClassifier,50,0.365,DySyn,yeast,0.0,0.3428737467760473,0.21400347474218126,0.12064419840441705,0.3224785800773544,0.167,0.333,0.061,0.136,0.303
0,XGBClassifier,50,0.249,DyS,yeast,0.0,0.3428737467760473,0.21400347474218126,0.12064419840441705,0.3224785800773544,0.0,0.226,0.274,0.113,0.387
0,XGBClassifier,50,0.865,DySyn+aMoSS,yeast,0.0,0.3428737467760473,0.21400347474218126,0.12064419840441705,0.3224785800773544,0.305,0.305,0.341,0.028,0.02
0,XGBClassifier,50,0.318,SCH_AC,yeast,0.0,0.3428737467760473,0.21400347474218126,0.12064419840441705,0.3224785800773544,0.0,0.488,0.124,0.051,0.336
0,XGBClassifier,50,0.171,SCH_GPAC,yeast,0.0,0.3428737467760473,0.21400347474218126,0.12064419840441705,0.3224785800773544,0.0,0.427,0.176,0.073,0.324
0,XGBClassifier,50,1.108,SCH_DyS,yeast,0.0,0.3428737467760473,0.21400347474218126,0.12064419840441705,0.3224785800773544,0.001,0.001,0.002,0.222,0.774
0,XGBClassifier,50,0.44,SCH_CC,yeast,0.0,0.3428737467760473,0.21400347474218126,0.12064419840441705,0.3224785800773544,0.22,0.28,0.12,0.06,0.32
0,XGBClassifier,50,0.394,SCH_MS,yeast,0.0,0.3428737467760473,0.21400347474218126,0.12064419840441705,0.3224785800773544,0.0,0.169,0.237,0.097,0.496
0,XGBClassifier,50,0.405,SCH_EM,yeast,0.0,0.3428737467760473,0.21400347474218126,0.12064419840441705,0.3224785800773544,0.0,0.359,0.132,0.0,0.509
0,XGBClassifier,50,0.512,DySyn,yeast,0.0,0.20310475695074268,0.18020037044609905,0.24822535388994243,0.36846951871321587,0.056,0.213,0.045,0.438,0.247
0,XGBClassifier,50,0.548,DyS,yeast,0.0,0.20310475695074268,0.18020037044609905,0.24822535388994243,0.36846951871321587,0.0,0.072,0.087,0.522,0.319
0,XGBClassifier,50,1.302,DySyn+aMoSS,yeast,0.0,0.20310475695074268,0.18020037044609905,0.24822535388994243,0.36846951871321587,0.462,0.392,0.111,0.03,0.005
0,XGBClassifier,50,0.039,SCH_AC,yeast,0.0,0.20310475695074268,0.18020037044609905,0.24822535388994243,0.36846951871321587,0.0,0.189,0.194,0.243,0.374
0,XGBClassifier,50,0.293,SCH_GPAC,yeast,0.0,0.20310475695074268,0.18020037044609905,0.24822535388994243,0.36846951871321587,0.0,0.268,0.125,0.33,0.277
0,XGBClassifier,50,0.765,SCH_DyS,yeast,0.0,0.20310475695074268,0.18020037044609905,0.24822535388994243,0.36846951871321587,0.0,0.0,0.001,0.302,0.697
0,XGBClassifier,50,0.48,SCH_CC,yeast,0.0,0.20310475695074268,0.18020037044609905,0.24822535388994243,0.36846951871321587,0.24,0.12,0.12,0.22,0.3
0,XGBClassifier,50,0.569,SCH_MS,yeast,0.0,0.20310475695074268,0.18020037044609905,0.24822535388994243,0.36846951871321587,0.0,0.0,0.233,0.48,0.287
0,XGBClassifier,50,0.911,SCH_EM,yeast,0.0,0.20310475695074268,0.18020037044609905,0.24822535388994243,0.36846951871321587,0.0,0.033,0.0,0.704,0.264
0,XGBClassifier,50,0.44,DySyn,yeast,0.0,0.006189805172924527,0.4798607786133356,0.31480298857499533,0.19914642763874443,0.106,0.059,0.271,0.376,0.188
0,XGBClassifier,50,0.161,DyS,yeast,0.0,0.006189805172924527,0.4798607786133356,0.31480298857499533,0.19914642763874443,0.0,0.0,0.418,0.396,0.187
0,XGBClassifier,50,1.356,DySyn+aMoSS,yeast,0.0,0.006189805172924527,0.4798607786133356,0.31480298857499533,0.19914642763874443,0.328,0.356,0.26,0.052,0.004
0,XGBClassifier,50,0.286,SCH_AC,yeast,0.0,0.006189805172924527,0.4798607786133356,0.31480298857499533,0.19914642763874443,0.0,0.0,0.623,0.263,0.114
0,XGBClassifier,50,0.148,SCH_GPAC,yeast,0.0,0.006189805172924527,0.4798607786133356,0.31480298857499533,0.19914642763874443,0.0,0.0,0.498,0.37,0.131
0,XGBClassifier,50,1.047,SCH_DyS,yeast,0.0,0.006189805172924527,0.4798607786133356,0.31480298857499533,0.19914642763874443,0.0,0.0,0.135,0.838,0.026
0,XGBClassifier,50,0.509,SCH_CC,yeast,0.0,0.006189805172924527,0.4798607786133356,0.31480298857499533,0.19914642763874443,0.12,0.1,0.24,0.3,0.24
0,XGBClassifier,50,0.056,SCH_MS,yeast,0.0,0.006189805172924527,0.4798607786133356,0.31480298857499533,0.19914642763874443,0.0,0.0,0.463,0.31,0.227
0,XGBClassifier,50,0.265,SCH_EM,yeast,0.0,0.006189805172924527,0.4798607786133356,0.31480298857499533,0.19914642763874443,0.0,0.0,0.501,0.426,0.073
0,XGBClassifier,50,0.581,DySyn,yeast,0.0,0.18622659678286052,0.30381623630276194,0.007163711321534148,0.5027934555928435,0.129,0.071,0.129,0.143,0.529
0,XGBClassifier,50,0.372,DyS,yeast,0.0,0.18622659678286052,0.30381623630276194,0.007163711321534148,0.5027934555928435,0.0,0.0,0.395,0.07,0.535
0,XGBClassifier,50,0.984,DySyn+aMoSS,yeast,0.0,0.18622659678286052,0.30381623630276194,0.007163711321534148,0.5027934555928435,0.312,0.331,0.335,0.012,0.012
0,XGBClassifier,50,0.522,SCH_AC,yeast,0.0,0.18622659678286052,0.30381623630276194,0.007163711321534148,0.5027934555928435,0.0,0.0,0.229,0.03,0.741
0,XGBClassifier,50,0.631,SCH_GPAC,yeast,0.0,0.18622659678286052,0.30381623630276194,0.007163711321534148,0.5027934555928435,0.219,0.0,0.174,0.082,0.524
0,XGBClassifier,50,0.979,SCH_DyS,yeast,0.0,0.18622659678286052,0.30381623630276194,0.007163711321534148,0.5027934555928435,0.001,0.0,0.001,0.017,0.982
0,XGBClassifier,50,0.906,SCH_CC,yeast,0.0,0.18622659678286052,0.30381623630276194,0.007163711321534148,0.5027934555928435,0.4,0.04,0.14,0.06,0.36
0,XGBClassifier,50,0.488,SCH_MS,yeast,0.0,0.18622659678286052,0.30381623630276194,0.007163711321534148,0.5027934555928435,0.0,0.0,0.246,0.14,0.614
0,XGBClassifier,50,0.742,SCH_EM,yeast,0.0,0.18622659678286052,0.30381623630276194,0.007163711321534148,0.5027934555928435,0.052,0.0,0.119,0.147,0.682
0,XGBClassifier,50,0.53,DySyn,yeast,0.0,0.2641029514297417,0.3746191073818819,0.3312139020762697,0.030064039112106693,0.11,0.274,0.11,0.452,0.055
0,XGBClassifier,50,0.584,DyS,yeast,0.0,0.2641029514297417,0.3746191073818819,0.3312139020762697,0.030064039112106693,0.0,0.053,0.293,0.613,0.04
0,XGBClassifier,50,0.731,DySyn+aMoSS,yeast,0.0,0.2641029514297417,0.3746191073818819,0.3312139020762697,0.030064039112106693,0.33,0.3,0.307,0.045,0.019
0,XGBClassifier,50,0.824,SCH_AC,yeast,0.0,0.2641029514297417,0.3746191073818819,0.3312139020762697,0.030064039112106693,0.398,0.278,0.071,0.227,0.026
0,XGBClassifier,50,0.389,SCH_GPAC,yeast,0.0,0.2641029514297417,0.3746191073818819,0.3312139020762697,0.030064039112106693,0.0,0.3,0.2,0.49,0.01
0,XGBClassifier,50,1.337,SCH_DyS,yeast,0.0,0.2641029514297417,0.3746191073818819,0.3312139020762697,0.030064039112106693,0.0,0.0,0.0,0.999,0.0
0,XGBClassifier,50,0.557,SCH_CC,yeast,0.0,0.2641029514297417,0.3746191073818819,0.3312139020762697,0.030064039112106693,0.2,0.24,0.12,0.4,0.04
0,XGBClassifier,50,0.715,SCH_MS,yeast,0.0,0.2641029514297417,0.3746191073818819,0.3312139020762697,0.030064039112106693,0.0,0.075,0.206,0.625,0.094
0,XGBClassifier,50,0.644,SCH_EM,yeast,0.0,0.2641029514297417,0.3746191073818819,0.3312139020762697,0.030064039112106693,0.0,0.181,0.166,0.653,0.0
0,XGBClassifier,50,0.6,DySyn,yeast,0.0,0.4406212702493903,0.17451654325639687,0.056189469343331896,0.32867271715088076,0.152,0.239,0.076,0.163,0.37
0,XGBClassifier,50,0.43,DyS,yeast,0.0,0.4406212702493903,0.17451654325639687,0.056189469343331896,0.32867271715088076,0.0,0.271,0.129,0.129,0.471
